strain,date,clade_membership,country,region,url,author,accession
R1_J10,2016-08-03 (2016-01-01 - 2016-12-31),DENV1/III,India,South Asia,,Pattabiraman et al,MG721063
FT_DNS1_323_S15_R3,10/7/2016,DENV1/III,India,South Asia,,?,MK858137
FT_DNS1_445_S20_R3,10/21/2016,DENV1/III,India,South Asia,,?,MK791752
FT_DNS1_456_S24_R3,10/24/2016,DENV1/III,India,South Asia,,?,MK858131
FT_J104_S21_R,8/7/2016,DENV1/III,India,South Asia,,?,MK858122
FT_J89_S9_R2_,8/9/2016,DENV1/III,India,South Asia,,?,MK858123
FT_J80_S1_R2,8/9/2016,DENV1/III,India,South Asia,,?,MK858126
Comoros_04329/93,1993-01-01 (1993-01-01 - 1993-10-09),DENV1/III,Comoros,Africa,,Schuffenecker et al,DQ285562
DENV_1/IND/55290/2005,2005-12-31 (2005-02-22 - 2005-12-31),DENV1/III,India,South Asia,,Jayashri et al,JQ922548
DS06_210505,2005-12-31 (2005-04-21 - 2005-12-31),DENV1/III,Brunei,Southeast Asia,,Osman et al (https://www.ncbi.nlm.nih.gov/pubmed/19218214),EU179860
RGCB419,10/23/2008,DENV1/III,India,South Asia,,Anoop et al (https://www.ncbi.nlm.nih.gov/pubmed/22729802),JN903579
RGCB592,4/6/2009,DENV1/III,India,South Asia,,Anoop et al (https://www.ncbi.nlm.nih.gov/pubmed/22729802),JN903581
RGCB585,4/5/2009,DENV1/III,India,South Asia,,Anoop et al (https://www.ncbi.nlm.nih.gov/pubmed/22729802),JN903580
FT_J224_S39_R2,8/26/2016,DENV1/III,India,South Asia,,?,MK858117
FT_DNS1_449_S21_R3,8/10/2016,DENV1/III,India,South Asia,,?,MK858133
19XN08100,4/25/2019,DENV1/III,China,China,,?,MN923101
19XN09422,5/9/2019,DENV1/III,China,China,,?,MN923102
19XN25802,10/17/2019,DENV1/III,China,China,,?,MN923085
19XN51128,10/18/2019,DENV1/III,China,China,,?,MN923096
V19492,2016-05-01 (2016-05-01 - 2016-05-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033253
19XN24397,9/25/2019,DENV1/III,China,China,,?,MN923082
V22125,2015-06-01 (2015-06-01 - 2015-06-27),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033237
FT_DNS1_206_S6_R3,9/10/2016,DENV1/III,India,South Asia,,?,MK858140
V50458,2013-12-01 (2013-12-01 - 2013-12-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033212
MCVR1715AD/2017,10/22/2017,DENV1/III,India,South Asia,,?,MH891771
R1_J47,2016-08-28 (2016-01-01 - 2016-12-31),DENV1/III,India,South Asia,,Pattabiraman et al,MG721060
MCVR0543AC/2017,4/26/2017,DENV1/III,India,South Asia,,?,MH891767
R1_BC03_SP9_22042017,4/22/2017,DENV1/III,India,South Asia,,?,MK588397
19XN26154,10/18/2019,DENV1/III,China,China,,?,MN923086
20XN35991_D1,7/12/2020,DENV1/III,China,China,,?,MW295817
V51870,2016-12-31 (2016-12-04 - 2016-12-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033261
V31460,2016-08-01 (2016-08-01 - 2016-08-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033256
FT_DNS1_492_S91_R3,4/9/2016,DENV1/III,India,South Asia,,?,MK858128
SJ290,2016-09-30 (2016-09-04 - 2016-09-30),DENV1/III,India,South Asia,,?,MK588396
FT_DNS1_450_S22_R3,8/10/2016,DENV1/III,India,South Asia,,?,MK858132
FT_DNS1_495_S92_R3_,10/27/2016,DENV1/III,India,South Asia,,?,MK858127
FT_J81_S2_R2,8/8/2016,DENV1/III,India,South Asia,,?,MK858125
RR121,2010-01-01 (2010-01-01 - 2010-07-26),DENV1/III,India,South Asia,,Dash et al A,JQ692085
RR107,2011-01-01 (2011-01-01 - 2011-10-15),DENV1/III,India,South Asia,,Neeraja et al,KF289072
DENV1_16687,2011-12-31 (2011-07-19 - 2011-12-31),DENV1/III,India,South Asia,,?,KU509255
T28_S69,2012-01-01 (2012-01-01 - 2012-11-02),DENV1/III,India,South Asia,,Kar et al (https://www.ncbi.nlm.nih.gov/pubmed/30528666),MH822959
S153,6/8/2018,DENV1/III,Sri Lanka,South Asia,,?,MT006151
S173,6/13/2018,DENV1/III,Sri Lanka,South Asia,,?,MT006154
S279,8/4/2018,DENV1/III,Sri Lanka,South Asia,,?,MT006166
S188,6/18/2018,DENV1/III,Sri Lanka,South Asia,,?,MT006156
S075,3/30/2018,DENV1/III,Sri Lanka,South Asia,,?,MT006182
S076,4/1/2018,DENV1/III,Sri Lanka,South Asia,,?,MT006183
T24_S68,2012-01-01 (2012-01-01 - 2012-09-13),DENV1/III,India,South Asia,,Kar et al (https://www.ncbi.nlm.nih.gov/pubmed/30528666),MH822958
DENV_1/China/YN/YNH22_2013_,10/8/2013,DENV1/III,China,China,,Hu et al,KY672944
2013XN27862,10/22/2013,DENV1/III,China,China,,?,MN933653
FT_AJ_16_S64_R3_DENV1_V_India,9/22/2017,DENV1/III,India,South Asia,,?,MK858141
V44692,2012-11-01 (2012-11-01 - 2012-11-27),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033204
FT_DNS1_295_S13_R3,10/6/2016,DENV1/III,India,South Asia,,?,MK858139
FT_J114_S25_R2,8/6/2016,DENV1/III,India,South Asia,,?,MK858120
FT_J118_S28_R2,8/11/2016,DENV1/III,India,South Asia,,?,MK858119
FT_J217_S35_R2_,8/25/2016,DENV1/III,India,South Asia,,?,MK858118
FT_DNS1_431_S16_R3,10/17/2016,DENV1/III,India,South Asia,,?,MK858136
FT_DNS1_442_S18_R3,10/20/2016,DENV1/III,India,South Asia,,?,MK858135
SG_EHI_D1/0091Y09,2009-01-01 (2009-01-01 - 2009-11-01),DENV1/III,Singapore,Southeast Asia,,Lee et al A (https://www.ncbi.nlm.nih.gov/pubmed/22036707),JF960211
V18806,2012-05-31 (2012-05-04 - 2012-05-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033198
SG_EHI_D1/44614Y11,2011-02-16 (2011-01-01 - 2011-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al A,KR779783
SG_EHI_D1/18640Y12,2012-05-01 (2012-05-01 - 2012-05-28),DENV1/III,Singapore,Southeast Asia,,Koo et al B,MG097875
V29368,2012-07-31 (2012-07-04 - 2012-07-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033200
RR57,2009-05-28 (2009-01-01 - 2009-12-31),DENV1/III,India,South Asia,,Dash et al B,JQ917404
2012/PO/CNR_17049,10/8/2012,DENV1/III,Portugal,Europe,,?,MN650593
2012/SA/CNR_14933,6/26/2012,DENV1/III,Saudi Arabia,West Asia,,?,MN650592
V3720,2016-01-01 (2016-01-01 - 2016-01-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033243
D16152,9/23/2016,DENV1/III,China,China,,?,MN018286
D1/China/GDcz/D16152/2016,2016-09-24 (2016-01-01 - 2016-12-31),DENV1/III,China,China,,?,MG840568
TM301,2014-01-31 (2014-01-04 - 2014-01-31),DENV1/III,Malaysia,Southeast Asia,,?,KX452066
TM242,2014-02-01 (2014-02-01 - 2014-02-25),DENV1/III,Malaysia,Southeast Asia,,?,KU666943
B17_1387,2017-10-01 (2017-10-01 - 2017-10-28),DENV1/III,Bangladesh,South Asia,,?,LC436667
B17_1547,2017-11-01 (2017-11-01 - 2017-11-27),DENV1/III,Bangladesh,South Asia,,?,LC436668
V31808,2016-08-01 (2016-08-01 - 2016-08-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033255
2016XN18488,8/17/2016,DENV1/III,China,China,,?,MN933662
2015/MR/CNR30078,10/22/2015,DENV1/III,Mauritania,Africa,,?,MW243063
SHC0513_/_DENV_1_/_2018,2018-11-30 (2018-11-04 - 2018-11-30),DENV1/III,Senegal,Africa,,?,MW288032
SHC0521_/_DENV_1_/_2018,2018-11-01 (2018-11-01 - 2018-11-27),DENV1/III,Senegal,Africa,,?,MW288036
IP387,12/12/2017,DENV1/III,Burkina Faso,Africa,,?,MT261955
IP314,11/2/2017,DENV1/III,Burkina Faso,Africa,,?,MT261954
2019/BJ/9943,2/28/2019,DENV1/III,Benin,Africa,,?,MN600714
2019/CI/CNR50802,3/30/2019,DENV1/III,Cote D Ivoire,Africa,,?,MW243051
2019/SN/CNR52748,9/18/2019,DENV1/III,Senegal,Africa,,?,MW243062
2017/BF/CNR46141,10/30/2017,DENV1/III,Burkina Faso,Africa,,?,MW243050
2019/CI/CNR51766,6/16/2019,DENV1/III,Cote D Ivoire,Africa,,?,MW243052
2019/CI/CNR51782,7/13/2019,DENV1/III,Cote D Ivoire,Africa,,?,MW243053
IP121,10/23/2017,DENV1/III,Burkina Faso,Africa,,?,MT261951
IP242,10/9/2017,DENV1/III,Burkina Faso,Africa,,?,MT261953
IP159,11/9/2017,DENV1/III,Burkina Faso,Africa,,?,MT261952
SGEHI_D1_44259Y12,2012-01-01 (2012-01-01 - 2012-05-16),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403575
D1/SG/CT25/2012,2012-12-31 (2012-08-20 - 2012-12-31),DENV1/III,Singapore,Southeast Asia,,Sung et al,KX380802
D1/SG/CT45/2013,2013-01-01 (2013-01-01 - 2013-08-10),DENV1/III,Singapore,Southeast Asia,,Sung et al,KX380803
SGEHI_D1_09119Y13,2013-01-01 (2013-01-01 - 2013-08-23),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403587
SGEHI_D1_15822Y13,2013-08-19 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403588
SGEHI_D1_52819Y13,2013-01-01 (2013-01-01 - 2013-06-01),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403583
SGEHI_D1_19711Y13,2013-10-04 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403581
SGEHI_D1_14592Y13,2013-09-09 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403595
SGEHI_D1_23469Y13,2013-09-09 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403596
SGEHI_D1_10152Y13,2013-01-01 (2013-01-01 - 2013-09-29),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403592
SGEHI_D1_15005Y13,2013-01-01 (2013-01-01 - 2013-06-23),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403599
SGEHI_D1_52901Y13,2013-05-14 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403579
SGEHI_D1_28740Y13,2013-01-01 (2013-01-01 - 2013-08-19),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403616
V31741,2014-07-04 (2014-07-01 - 2014-07-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033224
SGEHI_D1_10689Y13,2013-10-06 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403618
SGEHI_D1_23018Y13,2013-10-06 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403619
SGEHI_D1_21672Y13,2013-12-31 (2013-06-08 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403610
SGEHI_D1_48695Y13,2013-01-01 (2013-01-01 - 2013-05-16),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403613
SGEHI_D1_16120Y13,2013-10-25 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403605
SGEHI_D1_21469Y13,2013-07-04 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403609
SGEHI_D1_13943Y13,2013-09-11 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403603
SGEHI_D1_22740Y13,2013-12-31 (2013-07-27 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403612
SGEHI_D1_43144Y13,2013-09-15 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403623
SGEHI_D1_41379Y13,2013-01-04 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403622
V6038,2015-02-28 (2015-02-04 - 2015-02-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033229
V13085,2016-03-31 (2016-03-04 - 2016-03-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033251
Wenzhou_1,2014-12-31 (2014-07-03 - 2014-12-31),DENV1/III,China,China,,Wang et al A (https://www.ncbi.nlm.nih.gov/pubmed/26292098),KR024708
V3329,2015-01-13 (2015-01-01 - 2015-01-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033227
SG_EHI_D1/03329Y15,2015-01-13 (2015-01-01 - 2015-01-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al C,KY921903
SGEHI_D1_10498Y13,2013-03-27 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403628
V5044,2015-02-23 (2015-02-01 - 2015-02-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033234
V52742,2015-12-01 (2015-12-01 - 2015-12-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033241
V30014,2015-07-01 (2015-07-01 - 2015-07-28),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033242
V29793,2015-07-31 (2015-07-04 - 2015-07-31),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033238
V15628,2016-04-30 (2016-04-04 - 2016-04-30),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033252
SGEHI_D1_40115Y13,2013-03-30 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403635
V5538,2014-02-01 (2014-02-01 - 2014-02-25),DENV1/III,Singapore,Southeast Asia,,Koo et al A,MF033213
SGEHI_D1_51687Y13,2013-09-13 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403632
SGEHI_D1_09125Y13,2013-03-15 (2013-01-01 - 2013-12-31),DENV1/III,Singapore,Southeast Asia,,Hapuarachchi et al B (https://www.ncbi.nlm.nih.gov/pubmed/26940650),KM403633
GZ8H/2019048/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886863
DENV1/CN/GZ27/2014,2014-12-31 (2014-07-10 - 2014-12-31),DENV1/III,China,China,,Zhao et al A (https://www.ncbi.nlm.nih.gov/pubmed/27257804),KP723473
Wuhan_3,2014-08-14 (2014-01-01 - 2014-12-31),DENV1/III,China,China,,Wang et al A (https://www.ncbi.nlm.nih.gov/pubmed/26292098),KR024707
Wuhan_1,2014-12-31 (2014-06-01 - 2014-12-31),DENV1/III,China,China,,Wang et al A (https://www.ncbi.nlm.nih.gov/pubmed/26292098),KR024705
Gz_2/M/GZ/2014/DEV1,2014-07-06 (2014-01-01 - 2014-12-31),DENV1/III,China,China,,?,KX459386
Sz_1/M/SZ/2014/DEV1,2014-12-31 (2014-06-20 - 2014-12-31),DENV1/III,China,China,,?,KX620452
Sz_8/M/SZ/2014/DEV1,2014-12-19 (2014-01-01 - 2014-12-31),DENV1/III,China,China,,?,KX620453
GZ/13986/D1/2015,2015-01-01 (2015-01-01 - 2015-06-08),DENV1/III,China,China,,?,KT827378
2015XN13986,4/10/2015,DENV1/III,China,China,,?,MN933658
D1/China/GDgz/D15014/2015,2015-03-19 (2015-01-01 - 2015-12-31),DENV1/III,China,China,,?,MG840543
D15014,4/8/2015,DENV1/III,China,China,,?,MN018302
D15009,3/18/2015,DENV1/III,China,China,,?,MN018319
GZ8H/2019095/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886878
GZ8H/2019040/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886858
GZ8H/2019079/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886875
GZ8H/2019043/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886860
GZ8H/2019068/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886869
GZ8H/2019066/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886868
GZ8_50/S/Zengcheng/2014/DEV1,2014-11-06 (2014-07-20 - 2014-12-31),DENV1/III,China,China,,?,KX459391
GZ/26977/D1/2014,2014-03-31 (2014-01-01 - 2014-12-31),DENV1/III,China,China,,Bai et al,KT827374
P1258/China/GD/CZ/2014,10/20/2014,DENV1/III,China,China,,Zhao et al B,MG560267
GZ/31358/D1/2014,2014-05-26 (2014-01-01 - 2014-12-31),DENV1/III,China,China,,Bai et al,KT827375
GZ8_9/S/Yuexiu/2014/DEV1,2015-02-15 (2015-01-01 - 2015-12-31),DENV1/III,China,China,,?,KX225484
D14117,8/19/2014,DENV1/III,China,China,,?,MN018328
D14002,5/8/2014,DENV1/III,China,China,,?,MN018287
GZ8H/2019015/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886843
GZ8H/2019032/2014/I,11/30/2014,DENV1/III,China,China,,?,MN886854
P23086,1956-12-31 (1956-03-19 - 1956-12-31),,India,South Asia,,Dash et al C,KF289073
DENV_1/IND/631288/1963,1963-12-31 (1963-03-07 - 1963-12-31),,India,South Asia,,Jayashri et al,JQ922544
Reunion_191/04,2004-01-01 (2004-01-01 - 2004-11-07),DENV1/V,France,Europe,,Schuffenecker et al,DQ285559
RGCB294,7/26/2007,DENV1/V,India,South Asia,,Anoop et al (https://www.ncbi.nlm.nih.gov/pubmed/22729802),JN903578
D1/SG/05K4147DK1/2005,2005-01-01 (2005-01-01 - 2005-09-27),DENV1/V,Singapore,Southeast Asia,,Schreiber et al (https://www.ncbi.nlm.nih.gov/pubmed/19211734),EU081258
DENV_1/VG/BID_V2937/1985,1985-12-31 (1985-07-15 - 1985-12-31),DENV1/V,British Virgin Islands,North America,,?,GQ868601
DENV_1/BR/BID_V2384/2003,2003-01-01 (2003-01-01 - 2003-06-22),DENV1/V,Brazil,South America,,Henn et al A,FJ850077
DENV_1/BR/BID_V2392/2005,2005-01-01 (2005-01-01 - 2005-08-17),DENV1/V,Brazil,South America,,Henn et al A,FJ850084
DENV_1/BR/BID_V2375/2000,2000-12-31 (2000-10-02 - 2000-12-31),DENV1/V,Brazil,South America,,Henn et al A,FJ850071
DENV_1/BR/BID_V2398/2007,2007-01-01 (2007-01-01 - 2007-09-17),DENV1/V,Brazil,South America,,Henn et al A,FJ850090
DENV_1/BR/BID_V2374/2000,2000-01-01 (2000-01-01 - 2000-09-28),DENV1/V,Brazil,South America,,Henn et al A,FJ850070
DENV_1/BR/BID_V2381/2002,2002-01-01 (2002-01-01 - 2002-09-18),DENV1/V,Brazil,South America,,Henn et al A,FJ850075
DENV_1/BR/BID_V2389/2004,2004-01-01 (2004-01-01 - 2004-10-16),DENV1/V,Brazil,South America,,Henn et al A,FJ850081
DENV_1/BR/BID_V2395/2006,2006-01-01 (2006-01-01 - 2006-11-21),DENV1/V,Brazil,South America,,Henn et al A,FJ850087
HNRG27213,4/26/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692513
DENV_1/BR/BID_V3490/2008,2008-12-18 (2008-01-01 - 2008-12-31),DENV1/V,Brazil,South America,,Henn et al B,GU131863
HNRG24827,2/10/2010,DENV1/V,Argentina,South America,,Tittarelli et al (https://www.ncbi.nlm.nih.gov/pubmed/25343372),KC692511
13671/BR_PE/10,2010-01-01 (2010-01-01 - 2010-10-10),DENV1/V,Brazil,South America,,Silva et al,JX669464
DENV1_BR/SJRP/17/2010,10/13/2010,DENV1/V,Brazil,South America,,Vedovello et al,KP188539
13861/BR_PE/10,2010-01-01 (2010-01-01 - 2010-10-16),DENV1/V,Brazil,South America,,Silva et al,JX669465
9808/BR_PE/10,2010-12-31 (2010-03-19 - 2010-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669461
BR/SJRP/885/2013,1/14/2013,DENV1/V,Brazil,South America,,Vedovello et al,KP188548
BR/SJRP/1107/2013,2/26/2013,DENV1/V,Brazil,South America,,Vedovello et al,KP188567
DENV1_BR/SJRP/807/2013,1/5/2013,DENV1/V,Brazil,South America,,Vedovello et al,KP188547
DENV1_BR/SJRP/778/2013,2/4/2013,DENV1/V,Brazil,South America,,Vedovello et al,KP188546
DENV1_BR/SJRP/484/2012,2/13/2012,DENV1/V,Brazil,South America,,Vedovello et al,KP188543
BR/SJRP/2271/2014,2/10/2014,DENV1/V,Brazil,South America,,Vedovello et al,KP188568
BR/SJRP/709/2013,10/25/2013,DENV1/V,Brazil,South America,,Vedovello et al,KP188545
242/2010/BR/RJ/2010,2010-01-01 (2010-01-01 - 2010-10-06),DENV1/V,Brazil,South America,,Nogueira et al,KF672759
DENV1_BR/SJRP/509/2012,3/16/2012,DENV1/V,Brazil,South America,,Vedovello et al,KP188544
ESDA19,3/27/2019,DENV1/V,Brazil,South America,,?,MN567709
USP_CB_51,10/1/2018,DENV1/V,Brazil,South America,,?,MW208042
USP_CB_54,11/18/2018,DENV1/V,Brazil,South America,,?,MW208044
USP_CB_53,11/11/2018,DENV1/V,Brazil,South America,,?,MW208043
DENV_1/SV/BID_V2938/1993,1993-12-31 (1993-02-25 - 1993-12-31),DENV1/V,El Salvador,North America,,Henn et al C,JN819417
DENV_1/US/BID_V2138/1996,1996-01-01 (1996-01-01 - 1996-10-24),DENV1/V,Usa,North America,,Henn et al D,FJ478457
DENV_1/US/BID_V2139/1996,1996-05-01 (1996-01-01 - 1996-12-31),DENV1/V,Usa,North America,,Henn et al E,FJ410188
DENV_1/US/BID_V2130/1995,1995-01-01 (1995-01-01 - 1995-07-16),DENV1/V,Usa,North America,,Henn et al F,FJ547086
DENV_1/US/BID_V2097/1986,1986-12-31 (1986-07-10 - 1986-12-31),DENV1/V,Usa,North America,,Henn et al G,FJ562106
DENV_1/US/BID_V2135/1992,1992-01-01 (1992-01-01 - 1992-08-06),DENV1/V,Usa,North America,,Henn et al F,FJ547087
DENV_1/US/BID_V2136/1992,1992-12-31 (1992-03-07 - 1992-12-31),DENV1/V,Usa,North America,,Henn et al E,FJ410186
DENV_1/US/BID_V2096/1993,1993-09-21 (1993-01-01 - 1993-12-31),DENV1/V,Usa,North America,,Henn et al G,FJ562105
DENV_1/US/BID_V1743/1995,1995-12-29 (1995-01-01 - 1995-12-31),DENV1/V,Usa,North America,,Henn et al H,FJ205874
DENV_1/US/BID_V2133/1993,1993-01-01 (1993-01-01 - 1993-11-05),DENV1/V,Usa,North America,,Henn et al E,FJ410184
DENV_1/US/BID_V1744/1995,1995-01-01 (1995-01-01 - 1995-11-10),DENV1/V,Usa,North America,,Henn et al H,FJ205875
DENV_1/US/BID_V2132/1993,1993-01-01 (1993-01-01 - 1993-10-28),DENV1/V,Usa,North America,,Henn et al E,FJ410183
DENV_1/PR/BID_V1053/1998,1998-01-01 (1998-01-01 - 1998-11-06),DENV1/V,Puerto Rico,North America,,Zody et al A,KF955438
DENV_1/US/BID_V1162/1998,1998-04-06 (1998-01-01 - 1998-12-31),DENV1/V,Usa,North America,,Henn et al I,EU482567
DENV_1/US/BID_V2134/1993,1993-01-01 (1993-01-01 - 1993-11-25),DENV1/V,Usa,North America,,Henn et al E,FJ410185
DENV_1/US/BID_V2143/1987,1987-12-31 (1987-10-13 - 1987-12-31),DENV1/V,Usa,North America,,Henn et al E,FJ410190
DENV_1/PR/BID_V1056/1995,1995-01-01 (1995-01-01 - 1995-11-12),DENV1/V,Puerto Rico,North America,,Zody et al A,KF955439
DENV_1/US/BID_V2129/1995,1995-01-01 (1995-01-01 - 1995-08-14),DENV1/V,Usa,North America,,Henn et al E,FJ410181
