strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
USA/TX/2003-23223,2003-01-01 (2003-01-01 - 2003-07-12),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240499
USA/MD/2003-23225,2003-08-16 (2003-01-01 - 2003-12-31),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240501
USA/KS/2007-23111,2007-04-06 (2007-01-01 - 2007-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240493
USA/WI/2006-23109,2006-08-25 (2006-06-18 - 2006-10-29),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240491
EV-D68/Homosapiens/USA/C6944/2006,2006-09-26,,A1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255363
USA/WI/2006-23227,2006-12-06 (2006-10-23 - 2006-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240503
CAN14-314,2014-01-01 (2014-01-01 - 2014-06-14),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455258
20692_52_EV-D68,2015-04-18,,A1,Kenya,Africa,,,,,,,,"Agoti, C., Phan, M., et al",MK989725
EVD68_SWE_007_140908_NFLG,2014-09-08,,A1,Sweden,Europe,5,1-5y,<18y,<18y,Karolinska Sweden,7/7/2018,,"Dyrdak, R. et al.",MH674114
20692_43_EV-D68,2015-03-12,,A1,Kenya,Africa,,,,,,,,"Agoti, C., Phan, M., et al",MK989724
20692_25_EV-D68,2015-07-18,,A1,Kenya,Africa,,,,,,,,"Agoti, C., Phan, M., et al",MK989723
20692_88_EV-D68,2015-02-21,,A1,Kenya,Africa,,,,,,,,"Agoti, C., Phan, M., et al",MK989726
T202,2008-05-31 (2008-01-02 - 2009-01-01),,A1,Tanzania,Africa,,,<18y,<18y,,7/15/2019,,"Essaidi-Laziosi,M., Brito,F., Benaoudia,S., Royston,L., Cagno,V., Fernandes-Rocha,M., Piuz,I., Zdobnov,E., Huang,S., Constant,S., Boldi,M.O., Kaiser,L. and Tapparel,C.",KY348862
USA/AL/2007-23110,2007-12-12 (2007-01-01 - 2007-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240492
USA/AK/2008-23112,2008-10-05 (2008-01-02 - 2009-01-01),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240494
CA/RESP/10-786,2013-01-01 (2013-01-01 - 2013-03-06),,A1,USA,North America,,,,,,7/15/2019,,"Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.",KM892500
USA/MD/2009-23242,2009-12-31 (2009-10-18 - 2009-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240515
CAN07-137,2007-12-31 (2007-09-07 - 2007-12-31),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455260
USA/KS/2007-23239,2007-09-02 (2007-01-01 - 2007-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240512
4310901348_RD2,2009-09-25,,A1,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231899
NYC403,2009-09-01 (2009-09-01 - 2009-09-30),,A1,USA,North America,,,,,,7/15/2019,,"Tokarz,R., Firth,C., Madhi,S.A., Howie,S.R., Wu,W., Sall,A.A., Haq,S., Briese,T. and Lipkin,W.I.",JX101846
USA/MD/2009-23243,2009-12-31 (2009-08-12 - 2009-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240516
CAN09-74,2009-10-02 (2009-07-31 - 2009-12-15),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455253
CAN09-140,2009-12-27 (2009-10-27 - 2009-12-31),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455251
CAN10-37,2010-01-16 (2010-01-01 - 2010-04-18),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455252
CAN09-79,2009-11-04 (2009-09-07 - 2009-12-31),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455254
CAN10-65,2010-03-12 (2010-01-01 - 2010-12-31),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455255
EV-D68/Homosapiens/USA/MO94/2009,2009-09-23,,A1,USA,North America,7,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261824
USA/MD/2009-23229,2009-09-06 (2009-05-29 - 2009-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240505
EV-D68/Homosapiens/USA/U2752/2009,2009-09-04,,A1,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255409
EV-D68/Homosapiens/USA/MO67/2009,2009-10-05,,A1,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261804
USA/MD/2009-23114,2009-10-20 (2009-07-20 - 2009-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240495
USA/WI/2009-23247,2009-08-16 (2009-05-14 - 2009-12-06),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240518
EV-D68/Homosapiens/USA/U2737/2009,2009-09-11,,A1,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255355
EV-D68/Homosapiens/USA/U2704/2009,2009-08-26,,A1,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255374
EV-D68/Homosapiens/USA/U2705/2009,2009-08-26,,A1,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255360
USA/WI/2009-23230,2009-10-08 (2009-08-07 - 2009-12-04),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240506
USA/WI/2009-23248,2009-10-28 (2009-09-07 - 2009-12-31),,A1,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240519
NZ-2010-541,2010-06-23,,A1,New Zealand,Oceania,,,,,,7/15/2019,,"Todd,A.K., Hall,R.J., Wang,J., Peacey,M., McTavish,S., Rand,C.J., Stanton,J.A., Taylor,S. and Huang,Q.S.",JX070222
CAN10-264,2010-07-24 (2010-01-01 - 2010-12-31),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455256
CAN10-248,2010-05-30 (2010-01-01 - 2010-12-31),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455257
4311000670_tMK3RD1,2010-08-30,,A1,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231905
4311000742_tMK3RD1,2010-09-24,,A1,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231907
TTa-11-Ph224,2011-06-30 (2011-06-06 - 2011-06-30),,A1,Philippines,Southeast Asia,,,,,,7/15/2019,,"Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.",KX789259
EV-D68/Homosapiens/USA/C7245/2011,2011-09-27,,A1,USA,North America,13,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255376
CAN12-106,2012-06-05 (2012-01-02 - 2013-01-01),,A1,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455259
EV-D68/Homosapiens/USA/O527a/2012,2012-08-30,,A1,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255380
EV-D68/Homosapiens/USA/O685a/2012,2012-09-22,,A1,USA,North America,11,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255404
EV-D68/Homosapiens/USA/O1312a/2012,2012-10-11,,A1,USA,North America,11,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255358
EV-D68/Homosapiens/USA/O541a/2012,2012-08-22,,A1,USA,North America,17,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255369
EV-D68/Homosapiens/USA/C7396/2012,2012-08-20,,A1,USA,North America,12,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255392
EV-D68/Homosapiens/USA/O979a/2012,2012-09-15,,A1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255359
EV-D68/Homosapiens/USA/O980a/2012,2012-09-22,,A1,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255396
EV-D68/Homosapiens/USA/O433a/2012,2012-09-05,,A1,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255381
EV-D68/Homosapiens/USA/O1261a/2012,2012-09-28,,A1,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255361
EV-D68/Homosapiens/USA/O593a/2012,2012-09-01,,A1,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255386
EV-D68/Homosapiens/USA/C7429/2012,2012-08-18,,A1,USA,North America,12,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.",KX433162
EVD68/Homosapiens/USA/N0051U5/2012,2012-11-08,,A1,USA,North America,0.33,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Chappell,J. and Hartert,T.",KT347280
705-OsakaCity-JPN-2013,2013-09-30,,A1,Japan,Japan Korea,0.33,<1y,<18y,<18y,,7/15/2019,,"Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC068709
692-OsakaCity-JPN-2013,2013-09-24,,A1,Japan,Japan Korea,0.75,<1y,<18y,<18y,,7/15/2019,AFM,"Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC068708
726-OsakaCity-JPN-2013,2013-10-08,,A1,Japan,Japan Korea,2,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC068710
727-OsakaCity-JPN-2013,2013-10-04,,A1,Japan,Japan Korea,6,6-17y,<18y,<18y,,7/15/2019,,"Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.",LC068711
CAN98-1111,1998-01-12 (1998-01-01 - 1998-12-31),,,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455263
CAN97-947,1997-09-26 (1997-01-01 - 1997-12-31),,,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455262
37-99,1998-12-31 (1998-08-27 - 1998-12-31),,,France,Europe,,,,,,7/15/2019,,"Smura,T.P., Junttila,N., Blomqvist,S., Norder,H., Kaijalainen,S., Paananen,A., Magnius,L.O., Hovi,T. and Roivainen,M.",EF107098
CAN99-1460,1999-12-31 (1999-08-13 - 1999-12-31),,,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455261
USA/MO/2000-23221,2000-09-25 (2000-07-18 - 2001-01-01),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240497
