strain,date,country,division,url,author,accession
EM_079859,6/1/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817218
EM_079914,6/10/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817225
EM_074354,7/22/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817113
EM_079912,6/9/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817223
EM_079913,6/9/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817224
EM_079911,6/9/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817222
EM_079910,6/9/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817221
V517,7/24/2014,Guinea,Siguiri,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534509
V531,7/27/2014,Guinea,Kouroussa,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534510
EM_080063,6/20/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817230
EM_080141,6/25/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817237
EM_079412,3/31/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817183
EM_079404,3/28/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817179
EM_079578,4/18/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817201
EM_079587,4/22/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817202
EM_079514,4/10/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817197
EM_079408,3/31/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817181
EM_079405,3/28/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817180
EM_079464,4/4/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817195
EM_079444,4/2/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817193
EM_079450,4/1/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817194
EM_079622,4/28/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817203
EM_080076,6/22/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817235
EM_079659,5/7/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817206
EM_079657,5/7/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817205
EM_079630,5/1/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817204
EM_079677,5/10/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817207
EM_079702,5/14/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817210
EM_079685,5/11/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817209
EM_079731,5/18/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817211
EM_079915,6/10/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817226
EM_079772,5/24/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817215
EM_079681,5/11/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817208
EM_079753,5/22/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817214
EM_079749,5/21/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817212
V1690,10/25/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534574
EM_COY_2015_013857,3/18/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_013857
V1129,9/25/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534581
V1333,10/7/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534549
V1277,10/4/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534543
V1436,10/13/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534558
V1648,10/23/2014,Guinea,Kindia,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534569
V1047,9/20/2014,Guinea,Kindia,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534528
V1193,9/28/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534537
V1213,10/2/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534583
V1689,10/25/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534573
V1686,10/24/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534572
V1278,10/4/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534544
V1298,10/6/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534545
V1374,10/10/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534556
V1316,10/7/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534546
V1551,10/18/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534562
V1320,10/7/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534590
V1652,10/24/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534571
V1249,10/4/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534541
V1331,10/7/2014,Guinea,Kerouane,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534548
V1327,10/7/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534591
EM_COY_2015_017021,5/25/2015,Guinea,Fria,,Quick et al,EM_COY_2015_017021
EM_COY_2015_013576,3/9/2015,Guinea,Coyah,,Quick et al,EM_COY_2015_013576
PL4432,3/7/2015,Sierra Leone,Kambia,,Arias et al,KU296481
PL5294,3/24/2015,Sierra Leone,Kambia,,Arias et al,KU296764
PL5249,3/24/2015,Sierra Leone,Kambia,,Arias et al,KU296744
EM_COY_2015_017018,5/26/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_017018
EM_COY_2015_016449,5/11/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_016449
KT5317,2/24/2015,Sierra Leone,Western Rural,,Arias et al,KU296352
CON12930,10/13/2015,Guinea,Conakry,,Quick et al,CON12930
IPDPFHguineaSP_GUI_2015_6505,5/3/2015,Guinea,Forecariah,,Quick et al,IPDPFHguineaSP_GUI_2015_6505
EM_COY_2015_016263,5/4/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_016263
EM_COY_2015_016293,5/6/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_016293
EM_COY_2015_016236,5/3/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_016236
EM_COY_2015_015982,4/20/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_015982
IPDPFHguineaSP_GUI_2015_7070,5/18/2015,Guinea,Forecariah,,Quick et al,IPDPFHguineaSP_GUI_2015_7070
EM_COY_2015_016642,5/17/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_016642
EM_FORE_2015_875,6/17/2015,Guinea,Forecariah,,Quick et al,EM_FORE_2015_875
EM_FORE_2015_816,6/15/2015,Guinea,Forecariah,,Quick et al,EM_FORE_2015_816
EM_COY_2015_014102,3/26/2015,Guinea,Conakry,,Quick et al,EM_COY_2015_014102
IPDPFHguineaSP_GUI_2015_4909,3/29/2015,Guinea,Conakry,,Quick et al,IPDPFHguineaSP_GUI_2015_4909
IPDPFHguineaSP_GUI_2015_5117,4/3/2015,Guinea,Dubreka,,Quick et al,IPDPFHguineaSP_GUI_2015_5117
EM_COY_2015_013731,3/14/2015,Guinea,Coyah,,Quick et al,EM_COY_2015_013731
EM_COY_2015_014098,3/26/2015,Guinea,Conakry,,Quick et al,EM_COY_2015_014098
IPDPFHguineaSP_GUI_2015_4786,3/26/2015,Guinea,Conakry,,Quick et al,IPDPFHguineaSP_GUI_2015_4786
EM_COY_2015_014100,3/26/2015,Guinea,Conakry,,Quick et al,EM_COY_2015_014100
EM_COY_2015_014261,4/2/2015,Guinea,Forecariah,,Quick et al,EM_COY_2015_014261
EM_COY_2015_015802,4/14/2015,Guinea,Coyah,,Quick et al,EM_COY_2015_015802
IPDPFHguineaSP_GUI_2015_5339,4/8/2015,Guinea,Conakry,,Quick et al,IPDPFHguineaSP_GUI_2015_5339
EM_COY_2015_017091,5/28/2015,Guinea,Boke,,Quick et al,EM_COY_2015_017091
KG12,5/27/2015,Guinea,Boke,,Quick et al,KG12
EM_COY_2015_016743,5/19/2015,Guinea,Boke,,Quick et al,EM_COY_2015_016743
EM_COY_2015_016483,5/13/2015,Guinea,Boke,,Quick et al,EM_COY_2015_016483
KG90,6/19/2015,Guinea,Boke,,Quick et al,KG90
IPDPFHguineaSP_GUI_2015_6899,5/14/2015,Guinea,Boke,,Quick et al,IPDPFHguineaSP_GUI_2015_6899
KG87,6/19/2015,Guinea,Boke,,Quick et al,KG87
EM_COY_2015_017574,6/10/2015,Guinea,Boke,,Quick et al,EM_COY_2015_017574
KG45,6/9/2015,Guinea,Boke,,Quick et al,KG45
KG35,6/8/2015,Guinea,Boke,,Quick et al,KG35
KG88,6/19/2015,Guinea,Boke,,Quick et al,KG88
KG80,6/18/2015,Guinea,Boke,,Quick et al,KG80
KG91,6/20/2015,Guinea,Boke,,Quick et al,KG91
GUI_CTS_2015_0050,6/20/2015,Guinea,Boke,,Quick et al,GUI_CTS_2015_0050
KG168,6/29/2015,Guinea,Boke,,Quick et al,KG168
GUI_CTS_2015_0052,6/25/2015,Guinea,Boke,,Quick et al,GUI_CTS_2015_0052
GUI_CTS_2015_0051,6/21/2015,Guinea,Boke,,Quick et al,GUI_CTS_2015_0051
KG167,6/29/2015,Guinea,Boke,,Quick et al,KG167
Kissidougou-C15,3/17/2014,Guinea,Kissidougou,,Baize et al (https://www.ncbi.nlm.nih.gov/pubmed/24738640),KJ660346
EM_079442,4/3/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817192
EM_079410,3/31/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817182
EM_080193,6/29/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817239
G3686,5/28/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034562
EM_080213,7/3/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817240
EM_000934,9/29/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817083
EM_074531,8/8/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817122
EM_000707,9/22/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817080
EM_074461,8/4/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817120
G3680,5/28/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034559
G3683,5/28/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034561
EM_079880,6/5/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817220
G3687,5/28/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034563
EM_079876,6/5/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817219
EM_080253,7/10/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817242
G3676,5/27/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034554
EM_079983,6/13/2014,Sierra Leone,Kailahun,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817227
EM_080132,6/24/2014,Sierra Leone,Kailahun,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817236
EM095,5/25/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034550
EM_080064,6/20/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817231
EM_080066,6/20/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817233
EM_000500,9/13/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817076
EM120,6/3/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233043
G3670,5/27/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034553
G3769,6/12/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233065
EM_080223,7/4/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817241
LIBR10240,6/24/2014,Liberia,Liberia,,Ladner et al,KT725320
EM121,6/4/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233044
G4221.1,7/9/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105219
G3810,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233087
G3831,6/16/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233103
G3787,6/14/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233074
EM096,5/26/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034551
G3679,5/28/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034558
G4437.1,7/20/2014,Sierra Leone,Kenema,,Goba et al,KR105255
V20140517,9/5/2014,Sierra Leone,Kailahun,,Whitmer et al A,KR653263
G4973.1,8/12/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105286
G4445.1,7/21/2014,Sierra Leone,Kenema,,Goba et al,KR105256
LIBR10226,9/26/2014,Liberia,Montserrado,,Ladner et al,KT725304
LIBR10239,7/19/2014,Liberia,Liberia,,Ladner et al,KT725324
LIBR10306,6/25/2014,Liberia,Liberia,,Ladner et al,KT725336
LIBR10014,8/19/2014,Liberia,Montserrado,,Ladner et al,KT725390
LIBR10032,8/16/2014,Liberia,Liberia,,Ladner et al,KT725267
LIBR11079,10/2/2014,Liberia,Montserrado,,Ladner et al,KT725372
LIBR10047,10/1/2014,Liberia,Margibi,,Ladner et al,KT725345
LIBR0159,11/13/2014,Liberia,Montserrado,,Ladner et al,KT725327
LIBR10217,9/29/2014,Liberia,Liberia,,Ladner et al,KT725323
LIBR10218,9/29/2014,Liberia,Liberia,,Ladner et al,KT725284
LIBR10101,8/22/2014,Liberia,Liberia,,Ladner et al,KT725331
LIBR10270,8/26/2014,Liberia,Liberia,,Ladner et al,KT725256
LIBR10026,8/16/2014,Liberia,Margibi,,Ladner et al,KT725344
LIBR10238,7/18/2014,Liberia,Liberia,,Ladner et al,KT725322
LIBR10249,7/4/2014,Liberia,Liberia,,Ladner et al,KT725388
LIBR10048,10/1/2014,Liberia,Liberia,,Ladner et al,KT725361
LIBR0092,11/8/2014,Liberia,Montserrado,,Kugelman et al,KR006946
LIBR10262,10/16/2014,Liberia,Montserrado,,Ladner et al,KT725285
LIBR0093,11/8/2014,Liberia,Montserrado,,Kugelman et al,KR006947
LIBR0350,11/26/2014,Liberia,Montserrado,,Ladner et al,KT725342
LIBR0114,11/10/2014,Liberia,Grand Bassa,,Ladner et al,KT725273
LIBR0115,11/10/2014,Liberia,Grand Bassa,,Ladner et al,KT725254
LIBR0116,11/10/2014,Liberia,Grand Bassa,,Kugelman et al,KR006948
LIBR10245,7/1/2014,Liberia,Liberia,,Ladner et al,KT725332
LIBR10248,7/14/2014,Liberia,Liberia,,Ladner et al,KT725277
LIBR10155,9/13/2014,Liberia,Grand Bassa,,Ladner et al,KT725296
LIBR10128,8/30/2014,Liberia,Montserrado,,Ladner et al,KT725355
LIBR10172,9/1/2014,Liberia,Liberia,,Ladner et al,KT725289
LIBR10156,9/13/2014,Liberia,Grand Bassa,,Ladner et al,KT725352
LIBR10022,8/16/2014,Liberia,Liberia,,Ladner et al,KT725378
LIBR10279,8/26/2014,Liberia,Montserrado,,Ladner et al,KT725341
LIBR0073,11/6/2014,Liberia,Grand Bassa,,Kugelman et al,KR006944
LIBR0071,11/6/2014,Liberia,Grand Bassa,,Ladner et al,KT725303
LIBR0058,11/5/2014,Liberia,Rivercess,,Kugelman et al,KR006940
LIBR0059,11/5/2014,Liberia,Rivercess,,Kugelman et al,KR006941
LIBR10100,8/22/2014,Liberia,Liberia,,Ladner et al,KT725286
LIBR0168,11/13/2014,Liberia,Bomi,,Kugelman et al,KR006949
LIBR10196,8/26/2014,Liberia,Liberia,,Ladner et al,KT725283
LIBR10223,9/26/2014,Liberia,Montserrado,,Ladner et al,KT725301
LIBR0112,11/10/2014,Liberia,Montserrado,,Ladner et al,KT725330
LIBR0333,11/25/2014,Liberia,Grand Cape Mount,,Kugelman et al,KR006953
LIBR0160,11/13/2014,Liberia,Montserrado,,Ladner et al,KT725370
LIBR0624,12/22/2014,Liberia,Montserrado,,Kugelman et al,KR006959
LIBR0622,12/22/2014,Liberia,Montserrado,,Ladner et al,KT725288
LIBR10151,9/9/2014,Liberia,Liberia,,Ladner et al,KT725317
LIBR10224,9/26/2014,Liberia,Montserrado,,Ladner et al,KT725302
LIBR10040,8/4/2014,Liberia,Liberia,,Ladner et al,KT725314
LIBR10042,8/4/2014,Liberia,Liberia,,Ladner et al,KT725261
LIBR10103,8/20/2014,Liberia,Nimba,,Ladner et al,KT725338
LIBR10035,8/15/2014,Liberia,Grand Bassa,,Ladner et al,KT725259
LIBR10169,8/24/2014,Liberia,Liberia,,Ladner et al,KT725382
LIBR10148,9/20/2014,Liberia,Nimba,,Ladner et al,KT725295
LIBR10076,9/20/2014,Liberia,Liberia,,Ladner et al,KT725334
LIBR10130,9/1/2014,Liberia,Montserrado,,Ladner et al,KT725343
LIBR10267,10/5/2014,Liberia,Montserrado,,Ladner et al,KT725374
LIBR0177,11/14/2014,Liberia,Montserrado,,Ladner et al,KT725279
LIBR10036,8/10/2014,Liberia,Liberia,,Ladner et al,KT725299
LIBR10261,10/14/2014,Liberia,Sinoe,,Ladner et al,KT725287
LIBR0503,12/10/2014,Liberia,Sinoe,,Kugelman et al,KR006956
LIBR0505,12/10/2014,Liberia,Sinoe,,Kugelman et al,KR006957
LIBR10252,9/15/2014,Liberia,Grand Kru,,Ladner et al,KT725266
LIBR0176,11/14/2014,Liberia,Montserrado,,Kugelman et al,KR006951
LIBR10154,9/13/2014,Liberia,Montserrado,,Ladner et al,KT725318
LIBR10136,9/9/2014,Liberia,Liberia,,Ladner et al,KT725263
LIBR0067,11/6/2014,Liberia,Bomi,,Kugelman et al,KR006943
LIBR0118,11/10/2014,Liberia,Bomi,,Ladner et al,KT725291
LIBR10137,9/9/2014,Liberia,Liberia,,Ladner et al,KT725385
LIBR0063,11/6/2014,Liberia,Montserrado,,Kugelman et al,KR006942
LIBR10251,9/15/2014,Liberia,Grand Kru,,Ladner et al,KT725319
LIBR10110,8/20/2014,Liberia,Liberia,,Ladner et al,KT725387
LIBR10144,9/20/2014,Liberia,Liberia,,Ladner et al,KT725271
LIBR0284,11/22/2014,Liberia,Grand Cape Mount,,Ladner et al,KT725328
LIBR0286,11/22/2014,Liberia,Grand Cape Mount,,Kugelman et al,KR006952
Makona-Mali-DPR2,11/12/2014,Guinea,Guinea,,Hoenen et al,KP260800
EM_000457,9/12/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817075
EM_075435,8/30/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817133
LIBR10204,8/27/2014,Liberia,Liberia,,Ladner et al,KT725281
LIBR10062,9/23/2014,Liberia,Liberia,,Ladner et al,KT725359
V1205,10/2/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534538
V1063,9/21/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534530
V1454,10/14/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534560
V1120,9/25/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534535
Conakry_633,8/12/2014,Guinea,Gueckedou,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534512
V789,8/29/2014,Guinea,Dubreka,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534523
V1622,10/22/2014,Guinea,Nzerekore,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534567
V1321,10/7/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534547
V1340,10/8/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534551
V1561,10/19/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534563
V691,8/21/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534518
V1121,9/25/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534536
V1210,10/2/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534539
V1274,10/4/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534542
V1342,10/8/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534552
V1339,10/8/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534550
V1568,10/18/2014,Guinea,Forecariah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534565
V1445,10/14/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534559
V1623,10/24/2014,Guinea,Forecariah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534568
V1355,10/9/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534553
EM_076615,11/3/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817154
EM_075076,8/23/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817130
EM_074821,8/17/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817127
