strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,accession,host,mutational_fitness,pango_lineage,recency,region,url,author,originating_lab,submitting_lab,logistic_growth
ITA/INMI1/2020,1/30/2020,,19A,Italy,,Italy,19A,202005,MT066156,Homo sapiens,-0.1,B,Older,Europe,,Capobianchi et al,,,
AUS/VIC02/2020,1/24/2020,,19A,Australia,,Victoria,19A,202004,MT450919,Homo sapiens,-0.1,B,Older,Oceania,,Seemann et al B,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
AUS/VIC03/2020,1/25/2020,,19A,Australia,,Victoria,19A,202004,MT450920,Homo sapiens,-0.1,B,Older,Oceania,,Seemann et al C,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
AUS/NT02/2020,2/21/2020,,19A,Australia,,Northern Territory,19A,202008,MT641646,Homo sapiens,-0.01,B,Older,Oceania,,Caly et al D,Royal Darwin Hospital,The Peter Doherty Institute for Infection and Immunity,
Mesocricetusauratus/HKG/8_P2/2020,5/15/2020,,19A,Hong Kong,,Hong Kong,19A,202020,MT835139,Mesocricetus auratus,0,B,Older,Asia,,Chen et al,,,
AUS/NT05/2020,2/24/2020,,19A,Australia,,Northern Territory,19A,202009,MT641648,Homo sapiens,0,B.5,Older,Oceania,,Caly et al E,Royal Darwin Hospital,The Peter Doherty Institute for Infection and Immunity,
IRN/COVID19-IRVSH6/2020,5/1/2020,1,19A,Iran,,Iran,19A,202018,MT994881,Homo sapiens,-0.12,B.4,Older,Asia,,Shahabzadeh et al,,,
LKA/COV38/2020,3/16/2020,,19A,Sri Lanka,,Sri Lanka,19A,202012,MT371047,Homo sapiens,-0.12,B.4,Older,Asia,,Jeewandara et al A,,,
NZL/20VR0174/2020,2/27/2020,,19A,New Zealand,,New Zealand,19A,202009,MZ331872,Homo sapiens,-0.11,B.4,Older,Oceania,,Geoghegan et al A,,Institute of Environmental Science and Research,
GEO/MM202082/2020,2/28/2020,,19A,Georgia,,Georgia (Asia),19A,202009,MT231248,Homo sapiens,-0.01,B.4,Older,Asia,,Kotorashvili et al A,,,
NZL/20CV0306/2020,3/30/2020,,19A,New Zealand,,Whanganui,19A,202014,OK426616,Homo sapiens,-0.06,B.6,Older,Oceania,,Ren et al F,Canterbury Health Laboratories,Institute of Environmental Science and Research,
USA/TX-DSHS-1189/2020,3/12/2020,,19A,USA,,Texas,19A,202011,MW245978,Homo sapiens,-0.07,B.6,Older,North America,,Pedrueza et al,Texas Department of State Health Services,Texas Department of State Health Services-SARS-CoV-2 submission group,
IND/THSTI-BAL-42/2020,4/7/2020,,19A,India,,India,19A,202015,MZ356524,Homo sapiens,-0.07,B.6,Older,Asia,,Kumar et al,,,
IND/OUMRK1090/2020,3/25/2020,,19A,India,,India,19A,202013,MT477885,Homo sapiens,-0.06,B.6,Older,Asia,,Radhakrishna et al,,,
MYS/IIUM316/2020,4/9/2020,1,19A,Malaysia,,Pahang,19A,202015,MW079429,Homo sapiens,-0.06,B.6,Older,Asia,,Ahmad et al,,,
TLS/TL06/2020,4/11/2020,,19A,Timor-Leste,,Timor-Leste,19A,202015,MT612282,Homo sapiens,-0.06,B.6,Older,Asia,,Caly et al F,"National Health Laboratory, Timor-Leste",The Peter Doherty Institute for Infection and Immunity,
TLS/TL20/2020,4/13/2020,,19A,Timor-Leste,,Timor-Leste,19A,202016,MT641775,Homo sapiens,-0.06,B.6,Older,Asia,,Caly et al G,"National Health Laboratory, Timor-Leste",The Peter Doherty Institute for Infection and Immunity,
GEO/MM202054/2020,2/27/2020,,19A,Georgia,,Georgia (Asia),19A,202009,MT231246,Homo sapiens,-0.1,B,Older,Asia,,Kotorashvili et al B,,,
Iceland/13/2020,2/27/2020,1,19A,Iceland,,Iceland,19A,202009,OU161584,Homo sapiens,-0.07,B,Older,Europe,,Jonsson et al A,The National University Hospital of Iceland,DECODE GENETICS,
KOR/BA-ACH_2718/2020,2/29/2020,,19A,South Korea,,South Korea,19A,202009,MT304475,Homo sapiens,-0.05,B.41,Older,Asia,,Queen et al A,,,
NZL/20VR1785/2020,3/26/2020,,19A,New Zealand,,Southland,19A,202013,OK426729,Homo sapiens,-0.06,B.31,Older,Oceania,,Ren et al G,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/20VR1763/2020,3/25/2020,,19A,New Zealand,,Southland,19A,202013,OK426528,Homo sapiens,-0.06,B.31,Older,Oceania,,Ren et al H,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
BRA/SP02cc/2020,3/18/2020,1,19A,Brazil,,Brazil,19A,202012,MT350282,Homo sapiens,-0.1,B,Older,South America,,Malta et al,,,
BRA/SP02/2020,2/28/2020,,19A,Brazil,,Brazil,19A,202009,MT126808,Homo sapiens,-0.1,B,Older,South America,,Amgarten et al,,,
TLS/TL25/2020,3/30/2020,,19A,Timor-Leste,,Timor-Leste,19A,202014,MT641778,Homo sapiens,-0.06,B.35,Older,Asia,,Caly et al H,"National Health Laboratory, Timor-Leste",The Peter Doherty Institute for Infection and Immunity,
LKA/COV486/2020,3/31/2020,,19A,Sri Lanka,,Sri Lanka,19A,202014,MT371050,Homo sapiens,-0.1,B,Older,Asia,,Jeewandara et al B,,,
PER/covper074/2020,3/13/2020,,19A,Peru,,Peru,19A,202011,MW030214,Homo sapiens,-0.1,B,Older,South America,,Juscamayta et al C,,,
AUS/TAS71/2020,3/17/2020,,19A,Australia,,Tasmania,19A,202012,MT973405,Homo sapiens,-0.1,B,Older,Oceania,,Sait et al E,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
AUS/VIC14/2020,2/2/2020,,19A,Australia,,Victoria,19A,202006,MT450931,Homo sapiens,,B,Older,Oceania,,Seemann et al D,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
Finland/FIN-1-VE6-P4/2020,1/29/2020,2,19A,Finland,,Finland,19A,202005,MW718194,Homo sapiens,0.04,B,Older,Europe,,Cantuti-Castelvetri et al,,,
USA/CA-CDC-03047275-001/2020,2/10/2020,,19A,USA,,California,19A,202007,MT106053,Homo sapiens,,B,Older,North America,,Queen et al B,,,
TWN/CGMH-CGU-01/2020,1/25/2020,,19A,Taiwan,,Taiwan,19A,202004,MT192759,Homo sapiens,,B,Older,Asia,,Tsao et al A,,,
USA/WV-QDX-1284/2020,3/17/2020,,19A,USA,,West Virginia,19A,202012,MW065351,Homo sapiens,-0.01,B,Older,North America,,Rosenthal et al A,Quest Diagnostics,Quest Diagnostics,
NZL/20CV0291/2020,3/27/2020,,19A,New Zealand,,Canterbury,19A,202013,OK426798,Homo sapiens,-0.01,B,Older,Oceania,,Ren et al I,Canterbury Health Laboratories,Institute of Environmental Science and Research,
NZL/20VR0461/2020,3/13/2020,,19A,New Zealand,,New Zealand,19A,202011,MZ331879,Homo sapiens,0,B.55,Older,Oceania,,Geoghegan et al B,,Institute of Environmental Science and Research,
ISR/hCov-19-Israel-CVL-n2820/2020,3/8/2020,,19A,Israel,,Israel,19A,202011,MW672647,Homo sapiens,,B,Older,Asia,,Zuckerman et al,,,
OM108445,7/1/2021,,19A,India,,India,19A,202126,OM108445,Homo sapiens,,B,Older,Asia,,Singh et al,,,
EGY/EGY_CCHE57357_A_70/2020,7/2/2020,,19A,Egypt,,Egypt,19A,202027,MW467475,Homo sapiens,0,B,Older,Africa,,Hatem et al A,,,
AUS/NT42/2020,5/1/2020,1,19A,Australia,,Northern Territory,19A,202018,MT641765,Homo sapiens,0.02,B,Older,Oceania,,Caly et al I,Royal Darwin Hospital Pathology,The Peter Doherty Institute for Infection and Immunity,
OU076959,8/18/2020,2,20A,Germany,,North Rhine Westphalia,20A,202034,OU076959,Homo sapiens,0.02,B.1.367,Older,Europe,,? A,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",Robert Koch Institute,
MLI/M00960/2020,2/6/2020,2,20A,Mali,,Mali,20A,202006,OL336607,Homo sapiens,0.05,B.1,Older,Africa,,Dara et al B,,,
USA/NC-CDC-03068803-001/2020,3/8/2020,1,20A,USA,,North Carolina,20A,202011,MT344963,Homo sapiens,0.01,B.1.473,Older,North America,,Queen et al C,,,
AUS/VIC867/2020,4/5/2020,2,20A,Australia,,Victoria,20A,202015,MT451607,Homo sapiens,0.02,B.1,Older,Oceania,,Seemann et al E,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
MLT/Sliema_4/2020,9/7/2020,1,20A,Malta,,Malta,20A,202037,MW079421,Homo sapiens,0.02,B.1.389,Older,Europe,,Biazzo et al,,,
HongKong/Case1142/2020,6/22/2020,2,20A,Hong Kong,,Hong Kong,20A,202026,MW181749,Homo sapiens,0.03,B.1,Older,Asia,,Siu et al A,,,
GMB/GC19-029/2020,4/20/2020,1,20A,Gambia,,Gambia,20A,202017,MZ040130,Homo sapiens,0.01,B.1,Older,Africa,,Kanteh et al A,,,
BHR/023287015_S14_L001/2020,7/25/2020,2,20A,Bahrain,,Bahrain,20A,202030,MW228279,Homo sapiens,0,B.1.281,Older,Asia,,AlWasti et al A,,,
BHR/023285711_S13_L001/2020,7/25/2020,1,20A,Bahrain,,Bahrain,20A,202030,MW228278,Homo sapiens,0.03,B.1,Older,Asia,,AlWasti et al B,,,
BHR/600023154_S29/2020,10/14/2020,1,20A,Bahrain,,Bahrain,20A,202042,MW237743,Homo sapiens,-0.01,B.1.281,Older,Asia,,AlHujairi et al,,,
ETH/S3/2021,1/26/2021,1,20A,Ethiopia,,Addis Ababa,20A,202104,OL840804,Homo sapiens,0.04,B.1,Older,Africa,,Bitew et al B,,,
ETH/AH-003/2020,11/10/2020,3,20A,Ethiopia,,Ethiopia,20A,202046,MZ172409,Homo sapiens,0.07,B.1,Older,Africa,,Alemayehu et al A,,,
ETH/S15/2021,5/1/2021,2,20A,Ethiopia,,Addis Ababa,20A,202117,OL840816,Homo sapiens,0.07,B.1,Older,Africa,,Bitew et al C,,,
ETH/AH-002/2020,12/18/2020,1,20A,Ethiopia,,Ethiopia,20A,202051,MZ172408,Homo sapiens,0.07,B.1,Older,Africa,,Alemayehu et al B,,,
DJI/NAMRU3_E108/2020,7/25/2020,2,20A,Djibouti,,Djibouti,20A,202030,OK018273,Homo sapiens,0.1,B.1,Older,Africa,,Arnold et al A,,,
DJI/NAMRU3_EB1/2020,10/21/2020,2,20A,Djibouti,,Djibouti,20A,202043,OK018288,Homo sapiens,0.1,B.1,Older,Africa,,Arnold et al B,,,
DJI/NAMRU3_KH/2020,11/16/2020,2,20A,Djibouti,,Djibouti,20A,202047,MZ970763,Homo sapiens,0.1,B.1,Older,Africa,,Arnold et al C,,,
USA/NMDOH-2020014571/2020,4/4/2020,2,20A,USA,,New Mexico,20A,202014,MW493668,Homo sapiens,0.08,B.1,Older,North America,,Johnson et al A,New Mexico Department of Health Scientific Laboratory,New Mexico Department of Health Scientific Laboratory,
USA/PA-CDC-03068460-001/2020,3/6/2020,1,20A,USA,,Pennsylvania,20A,202010,MT325604,Homo sapiens,0,B.1,Older,North America,,Li et al B,,,
TUR/KOC-IST-SP3/2020,5/18/2020,1,20A,Turkey,,Turkey,20A,202021,MW199143,Homo sapiens,0.03,B.1.9.5,Older,Europe,,Ozer et al,,,
SAU/KAIMRC-S135/2020,11/15/2020,2,20A,Saudi Arabia,,Jeddah,20A,202047,MZ895658,Homo sapiens,0.15,B.1.36,Older,Asia,,Alghoribi et al A,,,
VEN/Anz7498/2021,3/12/2021,3,20A,Venezuela,,Venezuela,20A,202110,MZ611974,Homo sapiens,0.12,B.1.111,Older,South America,,Pujol et al A,,,
VEN/12MZ/2020,5/22/2020,1,20A,Venezuela,,Venezuela,20A,202021,MT907520,Homo sapiens,0.01,B.1.111,Older,South America,,Loureiro et al B,,,
USA/MO-QDX-4446/2020,8/14/2020,1,20A,USA,,Missouri,20A,202033,MW566523,Homo sapiens,0.01,B.1.385,Older,North America,,Rosenthal et al B,,,
EGY/CPHL-NRC-22/2020,3/13/2020,1,20A,Egypt,,Egypt,20A,202011,MW451601,Homo sapiens,0.01,B.1,Older,Africa,,Kayed et al A,,,
USA/SC_2108_T42/2020,9/20/2020,1,20A,USA,,South Carolina,20A,202039,MW480000,Homo sapiens,0.01,B.1.436,One month ago,North America,,Arnold et al D,,,
CHL/Santiago-PUC_MVL_0023/2020,3/19/2020,1,20A,Chile,,Chile,20A,202012,MW365182,Homo sapiens,0.01,B.1,Older,South America,,Direct Submission et al A,,,
FIN/FIN45-VE6-THL-202121391/2021,6/19/2021,8,21H (Mu),Finland,,Finland,21H (Mu),202124,OM680003,Homo sapiens,0.58,B.1.621,One week ago,Europe,,Laine et al A,,,
CHL/AR-UFRO-0030/2021,9/24/2021,8,21H (Mu),Chile,,Chile,21H (Mu),202138,OM146093,Homo sapiens,0.59,B.1.621,One month ago,South America,,Leyton-Carcaman et al A,,,
USA/AK-PHL9309/2021,6/1/2021,8,21H (Mu),USA,,Alaska,21H (Mu),202122,OL469691,Homo sapiens,0.56,B.1.621.1,Older,North America,,DeRonde et al A,,,
MNG/202107039/2021,7/22/2021,8,21H (Mu),Mongolia,,Mongolia,21H (Mu),202129,OM182129,Homo sapiens,0.58,B.1.621.1,Older,Asia,,Enkhbat et al A,,,
PAK/SARS-CoV-2_94/2020,4/15/2020,1,20A,Pakistan,,Punjab PK,20A,202016,MW422075,Homo sapiens,0,B.1,Older,Asia,,Badar et al,,,
EGY/CPHL-NRC-3/2020,4/5/2020,1,20A,Egypt,,Egypt,20A,202015,MW451598,Homo sapiens,0.02,B.1,Older,Africa,,Kayed et al B,,,
Switzerland/BS-UHB-42486635/2020,10/15/2020,3,20A,Switzerland,,Basel-Stadt,20A,202042,OU281202,Homo sapiens,0.09,B.1.160.32,Older,Europe,,? B,"Clinical Virology, University Hospital Basel, Switzerland",University Hospital Basel,
Switzerland/BL-ETHZ-490594/2020,2/8/2021,4,20A,Switzerland,,Basel-Land,20A,202106,OU176035,Homo sapiens,0.1,B.1.160,Older,Europe,,? C,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,
NOR/Bergen-02/2020,9/25/2020,2,20A,Norway,,Vestland,20A,202039,OM616037,Homo sapiens,0.07,B.1.160,One month ago,Europe,,Zhou et al,,,
HongKong/Case5178/2020,10/11/2020,2,20A,Hong Kong,,Hong Kong,20A,202042,MW181764,Homo sapiens,0.07,B.1.160,Older,Asia,,Siu et al B,,,
HG994505,2/22/2021,2,20A,France,,Hauts de France,20A,202108,HG994505,Homo sapiens,0.11,B.1.160,Older,Europe,,Derhourhi et al,"Synlab, Haut-de-France",UMR 1283/8199,
Switzerland/ZH-ETHZ-390430/2020,11/4/2020,2,20A,Switzerland,,Zürich,20A,202045,OU008845,Homo sapiens,0.11,B.1.160,Older,Europe,,? D,"Computational evolution group,Mattenstrasse 26, Basel",ETH ZURICH D-BSSE,
NZL/20CV0606/2020,11/25/2020,2,20A,New Zealand,,Canterbury,20A,202048,OK426486,Homo sapiens,0.05,B.1.471,Older,Oceania,,Ren et al J,Canterbury Health Laboratories,Institute of Environmental Science and Research,
NZL/20CV0701/2020,12/23/2020,2,20A,New Zealand,,Auckland,20A,202052,OK426733,Homo sapiens,0.04,B.1.471,Older,Oceania,,Ren et al K,LabPLUS,Institute of Environmental Science and Research,
PAK/JRCGR-KHI42/2020,7/2/2020,1,20A,Pakistan,,Sindh,20A,202027,MW447644,Homo sapiens,0.01,B.1.471,Older,Asia,,Shakeel et al,,,
BHR/920667208/2021,2/2/2021,1,20A,Bahrain,,Bahrain,20A,202105,MW704386,Homo sapiens,0.01,B.1.471,Older,Asia,,Alwasti et al A,,,
BHR/341460140/2021,2/6/2021,1,20A,Bahrain,,Bahrain,20A,202105,MW704337,Homo sapiens,0,B.1.471,Older,Asia,,Alwasti et al B,,,
FIN/SR121-VE6-H10/2020,10/9/2020,3,20A,Finland,,Finland,20A,202041,MW717676,Homo sapiens,0.04,B.1.463,Older,Europe,,Smura et al A,,,
IDN/RSDS-RCVTD-UNAIR-6-B/2020,5/19/2020,1,20A,Indonesia,,Indonesia,20A,202021,MZ026854,Homo sapiens,-0.01,B.1.470,Older,Asia,,Rantam et al A,,,
IDN/RSDS-RCVTD-UNAIR-11-B/2020,5/19/2020,1,20A,Indonesia,,Indonesia,20A,202021,MZ026855,Homo sapiens,-0.01,B.1.470,Older,Asia,,Rantam et al B,,,
IDN/RSDS-RCVTD-UNAIR-33-B/2020,6/24/2020,1,20A,Indonesia,,Indonesia,20A,202026,MZ570402,Homo sapiens,0.01,B.1,Older,Asia,,Rantam et al C,,,
AUS/VIC1558/2020,5/3/2020,1,20A,Australia,,Victoria,20A,202019,MT612172,Homo sapiens,0.01,B.1,Older,Oceania,,Caly et al J,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
AUS/VIC1737/2020,5/2/2020,1,20A,Australia,,Victoria,20A,202018,MT612314,Homo sapiens,0.01,B.1,Older,Oceania,,Caly et al K,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
IRN/3533/2020,10/10/2020,3,20A,Iran,,Iran,20A,202041,MZ314345,Homo sapiens,0.04,B.1.36,Older,Asia,,Khosravi et al,,,
PAK/JRCGR_SCV-51_IBGE-03/2020,12/11/2020,4,20A,Pakistan,,Islamabad Capital Territory,20A,202050,MW960275,Homo sapiens,0.23,B.1.36.31,Older,Asia,,Irfan et al,,,
BHR/600041988_S21_L001/2020,11/22/2020,1,20A,Bahrain,,Bahrain,20A,202048,MW332213,Homo sapiens,0.11,B.1.36,Older,Asia,,Alwasti et al C,,,
IND/KA-NIMH-SEQ-194/2021,2/13/2021,1,20A,India,,Karnataka,20A,202106,OM073968,Homo sapiens,0.05,B.1.36.29,Older,Asia,,Pattabiraman et al,,,
IND/GBRC492a/2020,11/27/2020,4,20A,India,,India,20A,202048,MZ262291,Homo sapiens,0.05,B.1.36.8,Older,Asia,,Pandit et al A,,,
NZL/20CV0506/2020,11/1/2020,2,20A,New Zealand,,Auckland,20A,202045,OK427042,Homo sapiens,0.05,B.1.36,Older,Oceania,,Ren et al L,Middlemore Hospital,Institute of Environmental Science and Research,
NZL/20CV0527/2020,11/8/2020,2,20A,New Zealand,,Wellington,20A,202046,OK426860,Homo sapiens,0.04,B.1.36,Older,Oceania,,Ren et al M,Wellington SCL (WN),Institute of Environmental Science and Research,
NZL/20CV0563/2020,11/18/2020,2,20A,New Zealand,,Wellington,20A,202047,OK426474,Homo sapiens,0.04,B.1.36,Older,Oceania,,Ren et al N,Wellington SCL (WN),Institute of Environmental Science and Research,
NZL/20CV0556/2020,11/11/2020,2,20A,New Zealand,,Capital And Coast,20A,202046,OK426592,Homo sapiens,0.04,B.1.36,Older,Oceania,,Ren et al O,Wellington SCL (WN),Institute of Environmental Science and Research,
NZL/20CV0063/2020,6/19/2020,1,20A,New Zealand,,Auckland,20A,202025,OK426941,Homo sapiens,0.06,B.1.36,Older,Oceania,,Ren et al P,LabTests,Institute of Environmental Science and Research,
NZL/20CV0221/2020,8/30/2020,2,20A,New Zealand,,Canterbury,20A,202036,OK426722,Homo sapiens,0.09,B.1.36.18,Older,Oceania,,Ren et al Q,Canterbury Health Laboratories,Institute of Environmental Science and Research,
